stop_id,stop_name,stop_lat,stop_lon,route_type,wheelchair_boarding
GDCH5,Gare de Chantenay,47.19780644,-1.59498499,3,1
COMB2,Commerce,47.21354486,-1.55623236,0,1
COST1,Cousteau,47.23986299,-1.51291605,3,1
APER1,Ampère,47.30219818,-1.50783344,3,1
GRAM2,Grammoire,47.18367902,-1.47304411,3,2
GELL2,Grande Noëlle,47.16234559,-1.50219674,3,2
JMLI3,Jean Moulin,47.20720116,-1.59950823,3,1
LHOU1,La Houssais,47.1742361,-1.55369405,3,1
PRCE1,Procé,47.22249863,-1.58150336,3,1
PTPS2,Printemps,47.18860841,-1.50038748,3,2
TAID1,Toutes Aides,47.22647329,-1.52347072,3,1
RNDR1,Renardières,47.14942633,-1.6017785,3,1
ROTY2,Le Roty,47.30463836,-1.54544413,3,2
BRDI1,Briandière,47.19052786,-1.69370774,3,1
VINE2,Villeneuve,47.19388759,-1.51397632,3,2
BDSP1,Bd des Sports,47.16584432,-1.46801701,3,1
CRQU4,Place du Cirque,47.21684228,-1.55673668,3,1
ALDE4,Allende,47.17415264,-1.62378337,3,2
PDPI1,Pomme de Pin,47.26711133,-1.59533142,3,1
BLVU6,Mendès France - Bellevue,47.20852297,-1.61157784,3,1
RDNT2,Rue de Nantes,47.15132045,-1.53426139,3,1
DSAI2,Desaix,47.22628695,-1.54334599,3,1
BRUN1,Bruneau,47.22824329,-1.56176187,3,1
FLUR1,Fleurs,47.21583735,-1.71768546,3,1
LPEL4,Le Pellerin,47.2004823,-1.76283319,3,1
LMTA1,La Montagne,47.18880986,-1.68990375,3,1
JLVE3,Joliverie,47.18955371,-1.51750265,3,1
FMIT5,François Mitterrand,47.22201076,-1.63807657,3,1
HPLA1,Hôpital Laënnec,47.23687497,-1.6409032,3,1
SFEL1,St-Félix,47.23157278,-1.55651974,0,1
LCAR4,Le Cardo,47.26165344,-1.58447788,3,1
PHVE1,Pré Hervé,47.24414033,-1.51778942,3,2
PSPO2,Parc des Sports,47.25990767,-1.45025377,3,1
PSAU2,Porte de Sautron,47.25075097,-1.61875857,3,2
PCLO1,Petit Clos,47.20531532,-1.50978716,3,1
JMAC1,Jean Macé,47.19946775,-1.58897655,3,1
PTSC1,Petits Champs Blancs,47.28107227,-1.42011911,3,2
EVET1,École Vétérinaire,47.29003981,-1.52267599,3,1
CMUS2,Camus,47.21928251,-1.57285071,3,1
FER58,Ferrière,47.24325691,-1.59160402,3,2
CNNT1,Chemin Nantais,47.2886964,-1.43370965,3,2
MATI2,Matière,47.27641989,-1.4488315,3,1
ODNE2,Ordronneau,47.19383903,-1.57492591,3,2
MPAU3,Marcel Paul,47.24558647,-1.61560421,3,1
MRDI2,Maison Radieuse,47.18787779,-1.5663913,3,1
BGOG1,Bourgogne,47.24663549,-1.58916721,3,1
NIZA1,Nizan,47.20579506,-1.55029613,3,1
LDRE2,Landreau,47.23217333,-1.51623283,0,1
MOIN2,Moinard,47.2133467,-1.72942086,3,2
SLGE1,Salorges,47.20473367,-1.57500596,3,2
PPSI1,Petit Plessis,47.30225671,-1.38597102,3,2
FMIT7,François Mitterrand,47.2221974,-1.63882818,3,1
QTNE1,Quintaine,47.21668653,-1.46435448,3,1
BAST2,Bastille,47.17939569,-1.59716272,3,2
TTMO4,Trentemoult,47.19150041,-1.58259695,3,2
CVNI2,Chauvinière,47.25159865,-1.57210522,3,1
SVDI1,Solvardière,47.21812989,-1.64190497,3,1
BRUN2,Bruneau,47.22796235,-1.56138705,3,1
PRHE1,Petit Rocher,47.24053587,-1.47915352,3,1
BDAN1,Bd des Anglais,47.22639931,-1.58267361,3,1
CHZY2,Chanzy,47.22360468,-1.54546241,3,1
BTAI2,Bretinais,47.22170279,-1.66574133,3,2
GPRO1,Gare de Pont Rousseau,47.19295925,-1.54886586,0,1
TADI2,Taillandier,47.21425011,-1.71656179,3,2
GNRA1,Greneraie,47.19977438,-1.53353993,3,1
RVDI1,Rivaudière,47.22717663,-1.65071629,3,1
MMSS2,Mermoz,47.19876891,-1.51554456,3,2
GCAR4,Grand Carcouët,47.23129641,-1.59211662,3,1
LMNE1,Lemoine,47.23556457,-1.54749291,3,1
LCBU1,Le Corbusier,47.19010456,-1.56858841,3,1
GALH2,Galheur,47.16676315,-1.57991614,3,1
BYCE2,Centre de Bouaye,47.14389569,-1.69169656,3,1
PRTE3,Portereau,47.16731717,-1.50146756,3,1
BAUG2,Baugerie,47.20379388,-1.52027534,3,1
ROCA2,Rocade,47.16345094,-1.47442847,3,1
CCAN1,Couchant,47.26848778,-1.59960347,3,2
CLGE4,Chalonges,47.18982658,-1.47239431,3,1
BNGL1,Bénoni Goullin,47.20150548,-1.55375621,3,1
LHER1,La Herdrie,47.19780011,-1.4541178,3,1
CATI2,Cartier,47.26751933,-1.45560508,3,2
BNNO2,Bernanos,47.20616329,-1.61385944,3,1
MDLA1,Moulin des Landes,47.26201252,-1.48144859,3,1
NETR6,Neustrie,47.17733065,-1.59230042,3,1
MRZE1,Marzilles,47.18257148,-1.47586753,3,2
JMLI1,Jean Moulin,47.20714385,-1.59994678,0,1
PLPC1,Place des Pêcheurs,47.13636635,-1.66784775,3,2
LRAY2,Le Gray 1,47.2836932,-1.58658501,3,2
ZOLA3,Zola,47.21406159,-1.58733751,3,1
PATR2,Patis Rondin,47.24774407,-1.51691834,3,2
LOIR2,Loire,47.24846389,-1.48652555,3,1
PBAI2,Parc Bel Air,47.17851216,-1.47464856,3,2
BJOI6,Beaujoire,47.25952555,-1.52783915,3,1
IMPR2,Imprimeurs,47.2386219,-1.67025713,3,2
GRIM4,Grimm,47.21700789,-1.64677238,3,1
BESS2,Bessonneau,47.21462131,-1.71345944,3,1
INRE1,Indre,47.20112077,-1.66665753,3,1
BGTT1,Bergeronnettes,47.23956731,-1.6012531,3,1
LDRE3,Landreau,47.23154633,-1.51591396,3,2
MLIN1,Moulin,47.18869787,-1.50367568,3,2
VINE1,Villeneuve,47.19414521,-1.51322056,3,2
BEGE2,Beauger,47.23427946,-1.55283174,3,2
MASS2,Massigné,47.29886131,-1.57952889,3,2
CSRI2,Classerie,47.16818325,-1.55876431,3,1
JJNA1,Jean Jaurès,47.21875162,-1.56052292,0,1
ARAG2,Arago,47.30358086,-1.50498571,3,1
